dataset	N	condition	K_random	score_target	random_median	random_mean	random_sd	percentile	empirical_p	rank
GSE90594	100	Li	200	1.8141428571428557	2.8504267857142858	3.0489832503865175	1.519016172302079	20.5	0.7960199004975125	160
GSE90594	100	Zn_proxy	200	3.074095238095234	2.8504267857142858	3.0489832503865175	1.519016172302079	54.50000000000001	0.4577114427860697	92
GSE90594	100	GSK3	200	2.1593547619047633	2.8504267857142858	3.0489832503865175	1.519016172302079	27.500000000000004	0.7263681592039801	146
GSE90594	100	Li_Zn	200	4.88823809523809	2.8504267857142858	3.0489832503865175	1.519016172302079	86.5	0.13930348258706468	28
GSE90594	100	GSK3_Zn	200	5.233449999999997	2.8504267857142858	3.0489832503865175	1.519016172302079	89.0	0.11442786069651742	23
GSE90594	300	Li	200	3.774428571428575	9.69970833333334	9.756430875204625	3.225034270877443	3.0	0.9701492537313433	195
GSE90594	300	Zn_proxy	200	10.338702380952379	9.69970833333334	9.756430875204625	3.225034270877443	58.5	0.417910447761194	84
GSE90594	300	GSK3	200	8.402140476190482	9.69970833333334	9.756430875204625	3.225034270877443	33.0	0.6716417910447762	135
GSE90594	300	Li_Zn	200	14.113130952380954	9.69970833333334	9.756430875204625	3.225034270877443	91.5	0.08955223880597014	18
GSE90594	300	GSK3_Zn	200	18.03884285714286	9.69970833333334	9.756430875204625	3.225034270877443	98.5	0.01990049751243781	4
GSE36169	100	Li	200	0.21547072777178308	3.2593347668216497	3.70934707537643	2.2524145473248325	2.0	0.9800995024875622	197
GSE36169	100	Zn_proxy	200	3.4153222122487503	3.2593347668216497	3.70934707537643	2.2524145473248325	51.5	0.48756218905472637	98
GSE36169	100	GSK3	200	1.5849397964343428	3.2593347668216497	3.70934707537643	2.2524145473248325	16.0	0.8407960199004975	169
GSE36169	100	Li_Zn	200	3.6307929400205334	3.2593347668216497	3.70934707537643	2.2524145473248325	54.0	0.4626865671641791	93
GSE36169	100	GSK3_Zn	200	5.000262008683094	3.2593347668216497	3.70934707537643	2.2524145473248325	73.5	0.26865671641791045	54
GSE36169	300	Li	200	4.935724902476078	10.051065955579247	10.536842860914799	4.220472829398457	5.5	0.945273631840796	190
GSE36169	300	Zn_proxy	200	8.690722162977265	10.051065955579247	10.536842860914799	4.220472829398457	37.5	0.6268656716417911	126
GSE36169	300	GSK3	200	8.61193707320811	10.051065955579247	10.536842860914799	4.220472829398457	36.5	0.6368159203980099	128
GSE36169	300	Li_Zn	200	13.626447065453345	10.051065955579247	10.536842860914799	4.220472829398457	79.0	0.21393034825870647	43
GSE36169	300	GSK3_Zn	200	15.074853144973623	10.051065955579247	10.536842860914799	4.220472829398457	87.5	0.12935323383084577	26
GSE66663	100	Li	200	36.96747605113889	27.72426917113889	29.04373867830546	10.151238951380753	80.5	0.19900497512437812	40
GSE66663	100	Zn_proxy	200	30.10718360475	27.72426917113889	29.04373867830546	10.151238951380753	57.99999999999999	0.4228855721393035	85
GSE66663	100	GSK3	200	21.139805196071432	27.72426917113889	29.04373867830546	10.151238951380753	20.0	0.8009950248756219	161
GSE66663	100	Li_Zn	200	66.4267910117778	27.72426917113889	29.04373867830546	10.151238951380753	99.0	0.014925373134328358	3
GSE66663	100	GSK3_Zn	200	50.85762021648811	27.72426917113889	29.04373867830546	10.151238951380753	97.5	0.029850746268656716	6
GSE66663	300	Li	200	85.90374351669996	78.77493341165277	79.70465230109292	20.602059942375732	66.0	0.34328358208955223	69
GSE66663	300	Zn_proxy	200	81.36372828519441	78.77493341165277	79.70465230109292	20.602059942375732	56.00000000000001	0.4427860696517413	89
GSE66663	300	GSK3	200	72.67920363032144	78.77493341165277	79.70465230109292	20.602059942375732	40.0	0.6019900497512438	121
GSE66663	300	Li_Zn	200	166.28867833011677	78.77493341165277	79.70465230109292	20.602059942375732	99.5	0.009950248756218905	2
GSE66663	300	GSK3_Zn	200	151.2663183741825	78.77493341165277	79.70465230109292	20.602059942375732	99.5	0.009950248756218905	2
